Reduction Method,Components,Clustering Method,Adjusted Rand Index,Mutual Information,Accuracy,Dunn Index,Silhouette Score,Gap Statistic,Calinski-Harabasz Index,Davies-Bouldin Index,WCSS
PCA_full,5,Hierarchical,,,,0.0007736870940173267,0.1622301549651124,3.462638940174145,1164.1199730513526,1.3745070616958526,343415570.060933
PCA_full,5,SphericalKMeans,,,,0.00022852137641283436,0.19950420739361277,3.4664673544355153,1360.599278499759,1.2711805504319955,319239980.62043345
PCA_randomized,5,Hierarchical,,,,0.0007736865281386393,0.16223015144385405,3.4615690835376967,1164.1199661591077,1.3745070786705977,343415570.9728513
PCA_randomized,5,SphericalKMeans,,,,0.00022852100405775617,0.19950421246682448,3.4653885964199276,1360.5992783106624,1.2711805529457931,319239980.6417352
PCA_full,6,Hierarchical,,,,0.0019316526246214228,0.22851432313544495,3.54799542056562,1324.9096073634541,1.4118486776706816,330168901.5275748
PCA_full,6,SphericalKMeans,,,,0.0003630269171358536,0.1910706357648875,3.5401123959293876,1301.8902140176795,1.3078751214327078,332950556.1906896
PCA_randomized,6,Hierarchical,,,,0.001931633591768586,0.22851433206692606,3.54011495764745,1324.9096037790544,1.4118489088791837,330168901.94983315
PCA_randomized,6,SphericalKMeans,,,,0.00036303084557095844,0.19107072173782522,3.5426887950650574,1301.8902570210314,1.3078747550013594,332950550.94307923
PCA_full,7,Hierarchical,,,,0.0007585531862255628,0.19741433801890854,3.5770762049969598,1313.0547432234102,1.5853683239040652,338097280.5618387
PCA_full,7,SphericalKMeans,,,,0.0003692522480182636,0.17679394333464687,3.579003522253661,1245.0475579700492,1.3523881354054719,346691373.2863743
PCA_randomized,7,Hierarchical,,,,0.0007585522130474615,0.19741435157684414,3.586462999808205,1313.0547383755106,1.5853685669021746,338097281.1565183
PCA_randomized,7,SphericalKMeans,,,,0.0003692514781434499,0.17679392143124092,3.5788638226438465,1245.0475231423245,1.3523882350436347,346691377.7966051
PCA_full,8,Hierarchical,,,,0.0008718940503924614,0.1508046410775209,3.9932295267547175,1089.7613723342333,1.5068615846508597,374367220.1577995
PCA_full,8,SphericalKMeans,,,,0.00024533068540832584,0.17590145986598427,3.9930497834494183,1209.7509689616895,1.3685544606825444,357352976.55378973
PCA_randomized,8,Hierarchical,,,,0.0008718922791375911,0.15080461296226383,3.991947272379999,1089.7613659335157,1.50686163047306,374367221.10639375
PCA_randomized,8,SphericalKMeans,,,,0.00024533776877979654,0.17590143118164686,3.995459052523966,1209.7509513506175,1.368554558451643,357352978.93538105
PCA_full,9,Hierarchical,,,,0.0010303513851271655,0.14209786092943127,4.071487504549189,1043.553768988814,1.403435145906495,387664543.9368765
PCA_full,9,SphericalKMeans,,,,0.0004176019154759923,0.16774305675466783,4.069355090245303,911.0778741216635,1.3179633728740259,409597788.7195414
PCA_randomized,9,Hierarchical,,,,0.0010303547743926301,0.14209785921245838,4.072831204823469,1043.5537682409447,1.4034351214106684,387664544.0527095
PCA_randomized,9,SphericalKMeans,,,,0.0004176010015156306,0.16774305935508388,4.07004674342291,911.0778635372209,1.317963429152581,409597790.5696581
PCA_full,10,Hierarchical,,,,0.00114030895041827,0.1519535791243799,4.176682801121167,1129.6576368612873,1.529988509452009,378970180.24909246
PCA_full,10,SphericalKMeans,,,,0.0005151782638618515,0.16363546017423816,4.1740753119077745,1143.600430554482,1.4130303017270684,376917382.2089819
PCA_randomized,10,Hierarchical,,,,0.0011403073233118943,0.1519535611768007,4.174869542465135,1129.657614927166,1.5299884803759962,378970183.43846065
PCA_randomized,10,SphericalKMeans,,,,0.0005151525481546672,0.1636355384365004,4.1730224714424615,1143.60048867315,1.4130299163032671,376917373.64124936
PCA_full,11,Hierarchical,,,,0.0008522556357355633,0.05868065381359876,4.249186591770915,1016.7139534554606,1.7650082275346595,400307690.8976529
PCA_full,11,SphericalKMeans,,,,0.0004133035619220113,0.16326881548931807,4.252291930647409,1124.8451595768172,1.4333298667414087,383367729.8633124
PCA_randomized,11,Hierarchical,,,,0.0014982459930675156,0.15223390805508302,4.251208565534597,983.9817831218259,1.5415899097559953,405734727.7546419
PCA_randomized,11,SphericalKMeans,,,,0.0004132943937233745,0.16326886307283087,4.248198345485687,1124.845207823921,1.4333289706169412,383367722.3897188
PCA_full,12,Hierarchical,,,,0.0024192513041901282,0.12425458321785458,4.243825227115728,965.8500201989697,1.4778690785489272,412312902.1226135
PCA_full,12,SphericalKMeans,,,,0.0005862997361908276,0.1584769834150688,4.2490037144933375,1107.4421594723183,1.4535071105917885,389309002.67061514
PCA_randomized,12,Hierarchical,,,,0.0024192953450122563,0.12425467785064956,4.248104416572112,965.8500726614459,1.4778679748381955,412312893.0026159
PCA_randomized,12,SphericalKMeans,,,,0.0005863395007303255,0.15847724346055272,4.247370210255344,1107.4422075012194,1.453506536421892,389308995.2150994
PCA_full,13,Hierarchical,,,,0.0014295468055725868,0.11946101394478803,4.264110851769342,1024.9309814542407,1.6863560856249216,405211733.1963716
PCA_full,13,SphericalKMeans,,,,0.0006112289891859114,0.15842449150523166,4.261422657810957,1094.4731445037337,1.4613269235027782,394051053.508027
PCA_randomized,13,Hierarchical,,,,0.0014295629210609544,0.15387743437642204,4.261410183130991,1022.8103924955285,1.6665244659942207,405562002.4570755
PCA_randomized,13,SphericalKMeans,,,,0.0006113090263633527,0.158424394453827,4.264159440575263,1094.4733132337706,1.4613260128636967,394051025.85314435
PCA_full,14,Hierarchical,,,,0.0016399801147042366,0.12277619162819348,4.256185578915492,847.1323791209613,1.6616376476984056,439358116.33652806
PCA_full,14,SphericalKMeans,,,,0.0006576353924566604,0.15402987786565825,4.255827836639195,1084.8899420297105,1.4788842840728993,397827828.61945593
PCA_randomized,14,Hierarchical,,,,0.0008746925997012306,0.1250231913169697,4.255640350794717,942.3622686101288,1.6726097672423734,421724647.5165347
PCA_randomized,14,SphericalKMeans,,,,0.0006576092052127643,0.15403060156876214,4.254691778528745,1084.890006318438,1.4788821873665077,397827816.61617124
PCA_full,15,Hierarchical,,,,0.0011545175091348381,0.05598455750827249,4.2502308508770845,850.3317717693062,1.640781956621766,441155407.4460544
PCA_full,15,SphericalKMeans,,,,0.0006195250256166241,0.15002445430641664,4.252985700758494,1076.2541180248668,1.4990568537993318,401394491.0927151
PCA_randomized,15,Hierarchical,,,,0.0012097980424169486,0.07181562727046985,4.249110228936072,935.9262652752026,1.7163913593958393,425197979.16143024
PCA_randomized,15,SphericalKMeans,,,,0.0006195075748185084,0.15002388965415822,4.2512526222292735,1076.2539426372762,1.4990615239356337,401394515.9789559
PCA_full,16,Hierarchical,,,,0.002101656399164399,0.08809289595181193,4.246807528094305,942.4995564066037,1.6688952812065259,426230602.1662175
PCA_full,16,SphericalKMeans,,,,0.0006175135423741206,0.1479348647045498,4.244893096259737,1066.446669251306,1.5097184104783732,405071892.98508763
PCA_randomized,16,Hierarchical,,,,0.0008598557917937087,0.08365604158880725,4.243983828922374,909.0391050877136,1.551285674339922,432326875.8472184
PCA_randomized,16,SphericalKMeans,,,,0.0006175361908865339,0.14793467246729022,4.24675526128242,1066.4466797636028,1.5097196680163198,405071888.3680682
PCA_full,17,Hierarchical,,,,0.0018936006877246676,0.12024872397025786,4.191997268760957,1019.9701383912288,1.6343389433368565,414589557.14001805
PCA_full,17,SphericalKMeans,,,,0.001028009795748046,0.10689064900108614,4.194322446511013,834.1383614129487,1.700003292714217,448611464.4005765
PCA_randomized,17,Hierarchical,,,,0.002230046498560552,0.08958356853333986,4.198160886622894,958.0230595863941,1.6726784532358663,425342503.97382325
PCA_randomized,17,SphericalKMeans,,,,0.0010280007758399605,0.10688916527480305,4.192775381400775,834.1383332479572,1.700027492782609,448611458.59086704
PCA_full,18,Hierarchical,,,,0.0012779986339910734,0.11968419146109373,4.2387475503770595,885.434652237615,1.857656886962828,440433628.990743
PCA_full,18,SphericalKMeans,,,,0.0009526999804198345,0.14157343989762347,4.237812625446541,1047.6007040270476,1.5434992925345894,411610641.7443515
PCA_randomized,18,Hierarchical,,,,0.0012554357181886937,0.1282302607627528,4.241465568673995,876.87295767826,1.7357648369282537,442067881.5003555
PCA_randomized,18,SphericalKMeans,,,,0.000955015944401292,0.14157025497520323,4.238162499630285,1047.5987473838163,1.5435309726420765,411610889.4408191
PCA_full,19,Hierarchical,,,,0.002392680620256524,0.12171472147347183,4.153093719966872,898.2002959452248,1.683436670791717,439562255.0652465
PCA_full,19,SphericalKMeans,,,,0.0013152291216200897,0.09199586195526695,4.154075629241973,781.323914366483,1.5559254357674668,462790491.42734855
PCA_randomized,19,Hierarchical,,,,0.002381319314503719,0.16233769640383197,4.153835368248632,924.4193360787913,1.8051568354270806,434667945.07133067
PCA_randomized,19,SphericalKMeans,,,,0.0010855269913832369,0.14052346098190963,4.15126695745812,1043.525126606996,1.546710523066329,413741091.3609292
PCA_full,20,Hierarchical,,,,0.0036006561923714684,0.11536014475725637,4.243660056073082,929.0810680987498,1.8011884768543611,435262648.96122754
PCA_full,20,SphericalKMeans,,,,0.0013191930121652321,0.09189203213151768,4.244055566537831,776.111831425202,1.5671325650026031,465437785.2173972
PCA_randomized,20,Hierarchical,,,,0.003600650887927104,0.11535977014395933,4.244076823130193,929.0809111741397,1.8011894930625534,435262672.2564963
PCA_randomized,20,SphericalKMeans,,,,0.0013192434200773972,0.09163501047899476,4.243630768134246,776.085806868221,1.5666881246659095,465443268.81191885
PCA_full,21,Hierarchical,,,,0.0015962901247268098,0.09194521085329961,4.197015160371464,871.7032669451332,1.9185373552580571,447433686.0946407
PCA_full,21,SphericalKMeans,,,,0.0013603565391454007,0.13763446224098486,4.19330952872043,1030.1096647763034,1.5631860930583283,418628126.2152334
PCA_randomized,21,Hierarchical,,,,0.001956532451067043,0.12630810571325543,4.195156198209233,1010.7552066716898,1.6403926776233149,421947164.42698556
PCA_randomized,21,SphericalKMeans,,,,0.0013604341684692242,0.13763313941487784,4.197246968353646,1030.1098999774283,1.5631924288060333,418628072.7383946
PCA_full,22,Hierarchical,,,,0.002084652824227752,0.13953637523526602,4.164390476001817,991.7795127128198,1.785658913684318,426411542.2492359
PCA_full,22,SphericalKMeans,,,,0.001338471954831825,0.08974361990107615,4.167156739877498,769.1215188017799,1.574590101886998,469577266.142426
