Reduction Method,Components,Clustering Method,Adjusted Rand Index,Mutual Information,Accuracy,Dunn Index,Silhouette Score,Gap Statistic,Calinski-Harabasz Index,Davies-Bouldin Index,WCSS
PCA_full,5,Hierarchical,0.6556277789955088,1.1524499521078686,0.7213740458015268,,,2.043622037451538,1583.3232498182876,0.9239808551099216,578800.304558673
PCA_full,5,SphericalKMeans,0.6639848675999038,1.159506847052883,0.7244968771686329,,,2.042907465988396,1660.9765457961341,0.9947874645622186,557799.0224480985
PCA_randomized,5,Hierarchical,0.6556277789955088,1.1524499521078686,0.7213740458015268,,,2.0461649340916512,1583.3233228338522,0.9239808630191163,578800.2840667024
PCA_randomized,5,SphericalKMeans,0.6639848675999038,1.159506847052883,0.7244968771686329,,,2.04134135612272,1660.9766369372278,0.9947874180554843,557798.9986919949
PCA_full,6,Hierarchical,0.6555839565848911,1.168823395686016,0.6946564885496184,,,1.9974413291513944,1394.790942059002,1.0271153947309206,655602.3457151331
PCA_full,6,SphericalKMeans,0.6571106067254978,1.1794283594188724,0.6828591256072172,,,2.0016963323142836,1567.5401134985286,0.9181135515195287,600267.2273124091
PCA_randomized,6,Hierarchical,0.6608541423737231,1.169446326764922,0.7147814018043026,,,2.003708491041049,1417.9400231534592,1.0089090507951959,647602.4740578769
PCA_randomized,6,SphericalKMeans,0.6571106067254978,1.1794283594188724,0.6828591256072172,,,1.9988989918585336,1567.536136569634,0.9181179518697368,600268.3848073172
PCA_full,7,Hierarchical,0.6527020732122369,1.1847963080816586,0.6714087439278279,,,2.0025998210448304,1391.502936143064,1.046850108316762,671019.0060349093
PCA_full,7,SphericalKMeans,0.6567918203466513,1.1799429491931315,0.6811242192921583,,,2.0045500821919564,1437.6291447558378,0.9636258952360015,654871.4526695185
PCA_randomized,7,Hierarchical,0.6332875971558372,1.1404035534079335,0.6703678001387925,,,2.0054184757957056,1388.369063632678,1.0198516271957627,672144.7591223716
PCA_randomized,7,SphericalKMeans,0.6567918203466513,1.1799429491931315,0.6811242192921583,,,2.007288078304917,1437.63432088592,0.9636129515283601,654869.4213671142
PCA_full,8,Hierarchical,0.681556933636047,1.221758352996845,0.7175572519083969,,,1.9821996879799286,1204.2039840860975,1.1733137426416247,760102.213711396
PCA_full,8,SphericalKMeans,0.4770547363857172,1.149853689279716,0.6242192921582235,,,1.985152009583505,1505.9867530737897,1.1243932147767408,644551.5723924544
PCA_randomized,8,Hierarchical,0.6820997506825094,1.2134482136317428,0.7390700902151284,,,1.9840407255431476,1209.402353769141,1.1541994870591712,757762.072113971
PCA_randomized,8,SphericalKMeans,0.4770547363857172,1.149853689279716,0.6242192921582235,,,1.9818513111669933,1505.9826293812162,1.1243954348526635,644552.8114083126
PCA_full,9,Hierarchical,0.6962130859865128,1.2557273793125716,0.7803608605135323,,,1.9762521295207414,1139.1098767706758,1.2365224277810956,803320.477842693
PCA_full,9,SphericalKMeans,0.6598468239919753,1.1862076635113277,0.6807772380291465,,,1.9775867002058583,1262.1553213367856,1.0853524855966763,746556.1769229379
PCA_randomized,9,Hierarchical,0.6619474003979555,1.198721214431823,0.6783483691880638,,,1.9807327957825738,1230.756950518703,1.1510977131284055,760262.2790497453
PCA_randomized,9,SphericalKMeans,0.6598468239919753,1.1862076635113277,0.6807772380291465,,,1.9732558006624448,1262.1650743672096,1.0852575009230505,746549.5491574131
PCA_full,10,Hierarchical,0.6717236392992115,1.2228074131590851,0.707147814018043,,,1.963590231308622,1158.6935825695548,1.2040674445819441,804620.8292190947
PCA_full,10,SphericalKMeans,0.4778918532795345,1.1527342426850151,0.6269951422623178,,,1.9570457067021003,1336.6050216261888,1.2058435440659612,725783.1369341693
PCA_randomized,10,Hierarchical,0.6820295302355742,1.227482717980718,0.7206800832755031,,,1.9652402390989767,1169.5652843989485,1.2424010736501938,799293.8372350457
PCA_randomized,10,SphericalKMeans,0.47785954893854155,1.15296895294657,0.6269951422623178,,,1.9662786941983725,1336.5634933582853,1.2054316875255993,725780.3591923311
PCA_full,11,Hierarchical,0.691472486949682,1.2492545649394602,0.7588480222068008,,,1.950002130291212,1061.991859948452,1.2997209564902055,865815.757145856
PCA_full,11,SphericalKMeans,0.661862318892601,1.1885621010223413,0.6790423317140875,,,1.956002330446335,1154.519049939954,1.1639982387661516,816778.4801196036
PCA_randomized,11,Hierarchical,0.6917850838796773,1.2521684300898779,0.7581540596807772,,,1.9524986461363234,1054.6869558329001,1.2863088724505884,869922.0353382556
PCA_randomized,11,SphericalKMeans,0.6617201720236072,1.1883301720829602,0.6793893129770993,,,1.9563679203433786,1154.6011175294939,1.1645836782108439,816721.3713620214
PCA_full,12,Hierarchical,0.6847149287773504,1.2302685290714752,0.7408049965301874,,,1.9387556968969175,999.6744180570257,1.3436411774789097,912635.9495313184
PCA_full,12,SphericalKMeans,0.4794510021697781,1.153669572311251,0.628383067314365,,,1.9362255567509017,1228.2028345448534,1.2697580781384687,790481.2265915768
PCA_randomized,12,Hierarchical,0.6852473643748103,1.2345158113109327,0.7442748091603053,,,1.9335326552306622,1035.2116343569567,1.3120695483119729,891190.1657103435
PCA_randomized,12,SphericalKMeans,0.47945112362478604,1.153925484080407,0.628383067314365,,,1.9337399635438945,1228.2820809244363,1.2693839085103225,790418.4830973269
PCA_full,13,Hierarchical,0.661116388439267,1.2189727477906986,0.7133934767522554,,,1.9247451286657213,985.2258933825365,1.2496475523321044,931321.8236675907
PCA_full,13,SphericalKMeans,0.6605349201438836,1.1855440169012461,0.6818181818181818,,,1.925254671648819,1077.0834598687672,1.2361417054966162,876350.6112134111
PCA_randomized,13,Hierarchical,0.6874177175844822,1.2369056346273584,0.7515614156835531,,,1.9213119426924763,989.0191427277091,1.3766016585868537,928866.183930878
PCA_randomized,13,SphericalKMeans,0.6605662937078609,1.1855746384467638,0.6821651630811936,,,1.9257498165376958,1077.292313521304,1.2362307114605653,876186.3739633689
PCA_full,14,Hierarchical,0.6647876260447217,1.1983217106502335,0.7120055517002082,,,1.8254697226641294,1005.7721618618453,1.3704616784496444,927389.8201119648
PCA_full,14,SphericalKMeans,0.6607430301685431,1.1859933768935051,0.6811242192921583,,,1.827904080822785,1042.9330368421377,1.2621431232887244,904748.3222628215
PCA_randomized,14,Hierarchical,0.7014515175553179,1.2684140464165836,0.7463566967383761,,,1.9257514120693582,960.3117138644684,1.5067680660136833,956513.255749416
PCA_randomized,14,SphericalKMeans,0.4786563878906155,1.1535358727796112,0.6259541984732825,,,1.925244267862693,1150.4216937349174,1.3239352314376107,844925.1269832485
PCA_full,15,Hierarchical,0.6965877239764517,1.2482309660954594,0.7685634975711312,,,1.829320053849509,918.179526298467,1.4599204551649372,994714.5292809759
PCA_full,15,SphericalKMeans,0.47886527256723116,1.1548637692046466,0.6263011797362943,,,1.829746384450461,1114.9593892239882,1.3498511319384952,871926.379624534
PCA_randomized,15,Hierarchical,0.6797490450581191,1.2246518150472487,0.7383761276891048,,,1.909590316483948,910.9835953168206,1.418599565632915,999562.0709738644
PCA_randomized,15,SphericalKMeans,0.47505987573249275,1.1541316202094178,0.621443442054129,,,1.9079768730687992,1113.0211150363848,1.3539865710091559,872724.6187926271
PCA_full,16,Hierarchical,0.7312335705616776,1.289860044327841,0.8018736988202637,,,1.9110852002894205,891.0652221117607,1.560430445362242,1023688.7903794587
PCA_full,16,SphericalKMeans,0.4772475413324088,1.1538564980836534,0.6245662734212353,,,1.9062218499411774,1081.1394000203584,1.3767229761395956,898984.5356054162
PCA_randomized,16,Hierarchical,0.6766067584018095,1.2173507097062066,0.7238029146426093,,,1.9086990833821673,936.6394807265349,1.5315507839612894,990247.0869063172
PCA_randomized,16,SphericalKMeans,0.6999381667858761,1.228145875637493,0.7699514226231784,,,1.9085260848230092,957.5113574544407,1.4815818045744644,975860.9024021586
PCA_full,17,Hierarchical,0.5866137980407982,1.1822124591495964,0.7258848022206801,,,1.8407043414832085,965.7880203446896,1.4278628210771758,979335.1142472349
PCA_full,17,SphericalKMeans,0.6607333604188655,1.1859750220703702,0.6793893129770993,,,1.8447006175164393,958.9660737658286,1.333242024109791,983980.7019905387
PCA_randomized,17,Hierarchical,0.6758592314278472,1.212963055346527,0.7234559333795975,,,1.8872174339106706,853.6170320264921,1.432879636627628,1061296.3290662162
PCA_randomized,17,SphericalKMeans,0.6600377704352807,1.184333970295656,0.6800832755031229,,,1.8857013701136012,960.5472953857542,1.3369073001105036,982471.8549272788
PCA_full,18,Hierarchical,0.6907220404306312,1.2495496463435443,0.7557251908396947,,,1.8934103944974723,854.5645004662179,1.5134576057258429,1070245.3260838704
PCA_full,18,SphericalKMeans,0.6608269680902493,1.1862820528306472,0.6783483691880638,,,1.8922311098378142,935.3058038940738,1.3587749912875995,1009153.2904210445
PCA_randomized,18,Hierarchical,0.681289134943911,1.2167300148906086,0.7383761276891048,,,1.8936504464346218,847.5101005448544,1.562584796507655,1075508.872246268
PCA_randomized,18,SphericalKMeans,0.6608766866171081,1.1861944582856208,0.6786953504510757,,,1.895577007645052,936.3386369088682,1.356085012202721,1008016.4518880921
PCA_full,19,Hierarchical,0.7015794836165923,1.2449366048570447,0.7633587786259542,,,1.8887714233391684,852.9884488457174,1.6395245667817782,1080451.2834222969
PCA_full,19,SphericalKMeans,0.6609266489455717,1.134044479601528,0.6564885496183206,,,1.8873056612523929,730.8750150345209,1.612369841879932,1189486.8796993778
PCA_randomized,19,Hierarchical,0.6809094675006392,1.2406387535561583,0.7165163081193615,,,1.8311175963913122,870.7552894061122,1.4730989001596926,1065808.0776860863
PCA_randomized,19,SphericalKMeans,0.6609697830554471,1.1345142100243493,0.6564885496183206,,,1.8296855771895988,731.5320202792412,1.6111967652537618,1188369.7740331746
