Reduction Method,Components,Clustering Method,Adjusted Rand Index,Mutual Information,Accuracy,Dunn Index,Silhouette Score,Gap Statistic,Calinski-Harabasz Index,Davies-Bouldin Index,WCSS
PCA_full,5,Hierarchical,,,,0.0007736870940173267,0.1622301549651124,3.487676449954801,1164.1199730513526,1.3745070616958526,343415570.060933
PCA_full,5,SphericalKMeans,,,,0.00022852137641283436,0.19950420739361277,3.470702412087352,1360.599278499759,1.2711805504319955,319239980.62043345
PCA_randomized,5,Hierarchical,,,,0.0007736904930337498,0.16223017816023466,3.4701924940322364,1164.119965300224,1.3745069919521684,343415571.083595
PCA_randomized,5,SphericalKMeans,,,,0.00022852142279368762,0.19950425177523784,3.469348072856249,1360.5992945406488,1.2711803400638633,319239978.78258467
PCA_full,6,Hierarchical,,,,0.0019316526246214228,0.22851432313544495,3.5381800487975923,1324.9096073634541,1.4118486776706816,330168901.5275748
PCA_full,6,SphericalKMeans,,,,0.0003630269171358536,0.1910706357648875,3.538213322213469,1301.8902140176795,1.3078751214327078,332950556.1906896
PCA_randomized,6,Hierarchical,,,,0.0019316530389001454,0.228514258123079,3.5499739941212596,1324.9095977814534,1.4118485258133135,330168902.6681999
PCA_randomized,6,SphericalKMeans,,,,0.0003630276193582,0.19107065806402815,3.5391600938512475,1301.8902114455975,1.3078755871870118,332950556.49646723
PCA_full,7,Hierarchical,,,,0.0007585531862255628,0.19741433801890854,3.578550300282192,1313.0547432234102,1.5853683239040652,338097280.5618387
PCA_full,7,SphericalKMeans,,,,0.0003692522480182636,0.17679394333464687,3.5761932093826765,1245.0475579700492,1.3523881354054719,346691373.2863743
PCA_randomized,7,Hierarchical,,,,0.0007585533302950115,0.19741430267591065,3.5907681178968893,1313.054745942849,1.5853684722712025,338097280.22505057
PCA_randomized,7,SphericalKMeans,,,,0.00036924952006552666,0.176793905193559,3.5779141194132045,1245.047554743726,1.3523883048546,346691373.7027569
PCA_full,8,Hierarchical,,,,0.0008718940503924614,0.1508046410775209,3.9929250696787264,1089.7613723342333,1.5068615846508597,374367220.1577995
PCA_full,8,SphericalKMeans,,,,0.00024533068540832584,0.17590145986598427,3.994307466187621,1209.7509689616895,1.3685544606825444,357352976.55378973
PCA_randomized,8,Hierarchical,,,,0.0008718943376163387,0.1508046451785065,3.9909166007639705,1089.7613779721278,1.5068615858659704,374367219.3177221
PCA_randomized,8,SphericalKMeans,,,,0.0002453271462518957,0.17590146200229315,3.99414488905229,1209.7509781202768,1.3685544437388832,357352975.3116879
PCA_full,9,Hierarchical,,,,0.0010303513851271655,0.14209786092943127,4.069925318432304,1043.553768988814,1.403435145906495,387664543.9368765
PCA_full,9,SphericalKMeans,,,,0.0004176019154759923,0.16774305675466783,4.069124394580381,911.0778741216635,1.3179633728740259,409597788.7195414
PCA_randomized,9,Hierarchical,,,,0.0010303466008003987,0.14209789588093935,4.067350583774356,1043.5537865341444,1.4034349126972048,387664541.1706276
PCA_randomized,9,SphericalKMeans,,,,0.00041760358885693555,0.16774312325040022,4.068386208962089,911.077896158209,1.3179631717984315,409597784.84677804
PCA_full,10,Hierarchical,,,,0.00114030895041827,0.1519535791243799,4.173657805757838,1129.6576368612873,1.529988509452009,378970180.24909246
PCA_full,10,SphericalKMeans,,,,0.0005151782638618515,0.16363546017423816,4.1708585216896985,1143.600430554482,1.4130303017270684,376917382.2089819
PCA_randomized,10,Hierarchical,,,,0.001140303908691665,0.15195352449088995,4.17240593311055,1129.6576251006163,1.5299887418462979,378970181.9783612
PCA_randomized,10,SphericalKMeans,,,,0.0005151723260505964,0.16363539097479637,4.173286054186164,1143.6004243508614,1.4130305529555012,376917383.1057714
PCA_full,11,Hierarchical,,,,0.0008522556357355633,0.05868065381359876,4.252276844404353,1016.7139534554606,1.7650082275346595,400307690.8976529
PCA_full,11,SphericalKMeans,,,,0.0004133035619220113,0.16326881548931807,4.25149190569806,1124.8451595768172,1.4333298667414087,383367729.8633124
PCA_randomized,11,Hierarchical,,,,0.0008522552707142712,0.05868060481521707,4.252049541034157,1016.7139670040247,1.7650084790710938,400307688.6478727
PCA_randomized,11,SphericalKMeans,,,,0.00041331341585927,0.16326875043075822,4.251671872534043,1124.8451630286004,1.4333301344461278,383367729.31339395
PCA_full,12,Hierarchical,,,,0.0024192513041901282,0.12425458321785458,4.24527473709691,965.8500201989697,1.4778690785489272,412312902.1226135
PCA_full,12,SphericalKMeans,,,,0.0005862997361908276,0.1584769834150688,4.2457882693702444,1107.4421594723183,1.4535071105917885,389309002.67061514
PCA_randomized,12,Hierarchical,,,,0.0024191867208985273,0.12425463130195369,4.246005914848109,965.8499808764968,1.477867973028652,412312908.63282275
PCA_randomized,12,SphericalKMeans,,,,0.0005863091612171619,0.15847710182665414,4.243364227458873,1107.4421077361355,1.45350688996497,389309010.36545444
PCA_full,13,Hierarchical,,,,0.0014295468055725868,0.11946101394478803,4.261959534915913,1024.9309814542407,1.6863560856249216,405211733.1963716
PCA_full,13,SphericalKMeans,,,,0.0006112289891859114,0.15842449150523166,4.26405216900584,1094.4731445037337,1.4613269235027782,394051053.508027
PCA_randomized,13,Hierarchical,,,,0.0014768980623347358,0.14459703442395197,4.2623415472769715,1077.3707725829445,1.729094453867394,396738382.93191355
PCA_randomized,13,SphericalKMeans,,,,0.0006112548607408252,0.1584243254909683,4.25860381204123,1094.473060376048,1.4613280341120214,394051066.04856044
PCA_full,14,Hierarchical,,,,0.0016399801147042366,0.12277619162819348,4.254934800399152,847.1323791209613,1.6616376476984056,439358116.33652806
PCA_full,14,SphericalKMeans,,,,0.0006576353924566604,0.15402987786565825,4.254121618572775,1084.8899420297105,1.4788842840728993,397827828.61945593
PCA_randomized,14,Hierarchical,,,,0.0008372998963667049,0.0811214928768061,4.253499376516743,863.8438739727425,1.6025153143763708,436157713.12837064
PCA_randomized,14,SphericalKMeans,,,,0.0006585323538830529,0.1540289596618165,4.255473931417697,1084.8899743784011,1.4788881865980918,397827754.10537493
PCA_full,15,Hierarchical,,,,0.0011545175091348381,0.05598455750827249,4.251775075475351,850.3317717693062,1.640781956621766,441155407.4460544
PCA_full,15,SphericalKMeans,,,,0.0006195250256166241,0.15002445430641664,4.252353106924922,1076.2541180248668,1.4990568537993318,401394491.0927151
PCA_randomized,15,Hierarchical,,,,0.0016111779539431201,0.10687702419216151,4.2534718639894535,902.1546291202824,1.6236464100502301,431354155.12205124
PCA_randomized,15,SphericalKMeans,,,,0.0006195018383978752,0.15002458761612117,4.250893185789458,1076.2543737034491,1.499056284600087,401394441.0827031
PCA_full,16,Hierarchical,,,,0.002101656399164399,0.08809289595181193,4.246865442947271,942.4995564066037,1.6688952812065259,426230602.1662175
