Reduction Method,Components,Clustering Method,Adjusted Rand Index,Mutual Information,Accuracy,Dunn Index,Silhouette Score,Gap Statistic,Calinski-Harabasz Index,Davies-Bouldin Index,WCSS
PCA_full,5,Hierarchical,0.5299282213005644,0.35334042596315685,0.8641041162227603,,,1.5149473571407626,2578.041580128135,0.8984748890258989,366321171.8807377
PCA_full,5,SphericalKMeans,0.3690330924725879,0.20063326185002445,0.8038740920096852,,,1.5129336807969835,3028.009956578841,0.8637339942019651,340281253.4443722
PCA_randomized,5,Hierarchical,0.11621047320109648,0.05741761976722473,0.6707021791767555,,,1.5134855147760788,2525.6562470456756,0.9449195163592619,369614066.2491424
PCA_randomized,5,SphericalKMeans,0.3690330924725879,0.20063326185002445,0.8038740920096852,,,1.5184437594114257,3028.009949747638,0.8637340042424803,340281253.78517646
PCA_full,6,Hierarchical,0.10546053792505154,0.05246343701336087,0.6628329297820823,,,1.5396326004670478,2803.67372384571,0.9297458497411852,355005147.7927207
PCA_full,6,SphericalKMeans,0.3631716116953275,0.19677045243169666,0.801452784503632,,,1.5385144169187548,2986.7519372352713,0.8732119968585081,344670234.1483826
PCA_randomized,6,Hierarchical,0.10546053792505154,0.05246343701336087,0.6628329297820823,,,1.5361637599692202,2803.6737241038472,0.9297457842875889,355005147.67839897
PCA_randomized,6,SphericalKMeans,0.3631716116953275,0.19677045243169666,0.801452784503632,,,1.5362251621977663,2986.751943764227,0.8732119415788411,344670233.6941261
PCA_full,7,Hierarchical,0.2215125899765637,0.11332429239080158,0.7354721549636803,,,1.551993057255892,2609.9588953233338,0.9174288283770371,368361821.52119374
PCA_full,7,SphericalKMeans,0.3609861844036608,0.1953073396677415,0.8005447941888619,,,1.5549291792858817,2957.2056199527806,0.8800741212693657,347925931.76642686
PCA_randomized,7,Hierarchical,0.623793940249821,0.4056248625099008,0.8949757869249395,,,1.5519540408442722,2299.776733317942,0.9561219440132503,388758789.8572581
PCA_randomized,7,SphericalKMeans,0.3609861844036608,0.1953073396677415,0.8005447941888619,,,1.554638214166708,2957.205650414857,0.8800740435378326,347925929.5068678
PCA_full,8,Hierarchical,0.4150063517058233,0.291343295711347,0.8223365617433414,,,1.5790084508757616,2779.6091850823286,0.8734462018597953,359606755.8424872
PCA_full,8,SphericalKMeans,0.359531493174591,0.1944258915033013,0.7999394673123487,,,1.5830016173852393,2934.5751685961327,0.8861292723031566,350671272.3293649
PCA_randomized,8,Hierarchical,0.4542228013191947,0.3123838815355807,0.8371670702179177,,,1.5777397404487061,2672.250836792082,0.8926439240747936,366068934.1093314
PCA_randomized,8,SphericalKMeans,0.359531493174591,0.1944258915033013,0.7999394673123487,,,1.5763211673620674,2934.5753570502197,0.8861285886821408,350671243.54617965
PCA_full,9,Hierarchical,0.8287809195154946,0.533413545605844,0.9552058111380145,,,1.641326349243986,1775.3939278960975,1.0785778186430757,432462967.70100033
PCA_full,9,SphericalKMeans,0.3588059512644342,0.1939425622638456,0.799636803874092,,,1.6434576614326417,2911.732490075783,0.8910163998938218,353376147.0665122
PCA_randomized,9,Hierarchical,0.8287809195154946,0.533413545605844,0.9552058111380145,,,1.643357764800431,1775.3939323713405,1.078577595075025,432462965.60062885
