Reduction Method,Components,Clustering Method,Adjusted Rand Index,Mutual Information,Accuracy,Dunn Index,Silhouette Score,Gap Statistic,Calinski-Harabasz Index,Davies-Bouldin Index,WCSS
PCA_full,5,Hierarchical,,,,2.1924267253395906e-05,0.3808357958213964,5.920350285667496,224.33136688550564,1.6467594956757117,2003276227.8932636
PCA_full,5,SphericalKMeans,,,,5.805949697858244e-06,0.38225296067451964,5.924496368706116,234.05572896760538,1.6445375406173268,1994923548.918767
PCA_randomized,5,Hierarchical,,,,2.192426680227295e-05,0.380835795817448,5.924073974119821,224.33136688501008,1.6467594956781788,2003276227.8936903
PCA_randomized,5,SphericalKMeans,,,,5.8059496870944045e-06,0.38225296067035575,5.924263614596896,234.0557289670869,1.6445375406199136,1994923548.9192097
PCA_full,6,Hierarchical,,,,7.741003929849496e-06,0.28264607973165057,6.109446570022271,201.68239656811173,1.6287971887069057,2035439636.444523
PCA_full,6,SphericalKMeans,,,,6.566996983625569e-06,0.2759910619608507,6.110510524796705,204.86533589777432,1.6121962152192741,2032626567.8046494
PCA_randomized,6,Hierarchical,,,,7.741003486099692e-06,0.28264607974897615,6.112662556614566,201.68239662713023,1.6287971877709115,2035439636.3922904
PCA_randomized,6,SphericalKMeans,,,,6.566997614536462e-06,0.2759910626007432,6.109677995417332,204.86533596017867,1.6121962143351454,2032626567.7495728
PCA_full,7,Hierarchical,,,,2.492326228164516e-05,0.27714059585983153,5.8743296279122745,202.81237288630697,1.6654802173780219,2042718075.743794
PCA_full,7,SphericalKMeans,,,,3.1866503364630612e-06,0.27940738705727314,5.873535649252876,207.8199208864679,1.7846352693755279,2038282290.6395824
PCA_randomized,7,Hierarchical,,,,2.492319274484239e-05,0.27714060484848363,5.872670789688481,202.81237302919652,1.6654802174519074,2042718075.616949
PCA_randomized,7,SphericalKMeans,,,,3.18670140390625e-06,0.2794073963120259,5.872701806195888,207.81992105773278,1.784635270139843,2038282290.488207
PCA_full,8,Hierarchical,,,,3.4985846340044804e-05,0.26484822573980976,5.883308463806827,194.37143631474171,1.6199706512043344,2057904893.58746
PCA_full,8,SphericalKMeans,,,,2.324516188930811e-05,0.2769219778140152,5.881219078192945,206.82985677540927,1.634952057681783,2046782155.0437412
PCA_randomized,8,Hierarchical,,,,3.498588506922527e-05,0.2648482243869133,5.882089666997366,194.3714363188928,1.619970650943806,2057904893.583736
PCA_randomized,8,SphericalKMeans,,,,2.324513779765559e-05,0.2769219766183029,5.884248535330983,206.8298568114449,1.63495205716397,2046782155.0117452
PCA_full,9,Hierarchical,,,,4.346900001500941e-05,0.20725783842134118,5.868444699580738,187.227219218806,1.8013925216580267,2068356680.2843928
PCA_full,9,SphericalKMeans,,,,1.7420251210325473e-05,0.21321319190509522,5.866615138434675,203.2678222684944,1.7700773403058134,2053940798.318722
PCA_randomized,9,Hierarchical,,,,4.346539696953564e-05,0.20725786617531178,5.868117638752125,187.22721996001417,1.8013925116947072,2068356679.6135416
PCA_randomized,9,SphericalKMeans,,,,1.7420690777475747e-05,0.21321322055599312,5.869832021981342,203.26782264440644,1.7700773340906322,2053940797.9831965
PCA_full,10,Hierarchical,,,,0.00010173334893702256,0.2517014460115901,6.1013527713423485,202.06812942000428,1.655514270900514,2058178360.8449957
PCA_full,10,SphericalKMeans,,,,2.297291153188489e-05,0.21262494275534358,6.100817742195247,202.76373944764947,1.7724357020787933,2057556147.8644338
PCA_randomized,10,Hierarchical,,,,0.00010173695130728872,0.25170144910390885,6.102145938269899,202.06812961296683,1.6555142685484654,2058178360.6723204
PCA_randomized,10,SphericalKMeans,,,,2.297291125860049e-05,0.21262494757445605,6.100066124422426,202.76373959683667,1.7724357002386348,2057556147.7310083
PCA_full,11,Hierarchical,,,,0.00020785782061909252,0.2434656562684753,5.87571397816977,202.56649788329537,1.6909582825652931,2060440344.3453624
PCA_full,11,SphericalKMeans,,,,7.458081073296879e-05,0.2406261987798,5.870182487707616,200.0138463768529,1.6630592953784447,2062728898.1965282
PCA_randomized,11,Hierarchical,,,,0.0002078577038356538,0.2434657420177838,5.8689607099604615,202.56649879873632,1.690958238674223,2060440343.5231068
PCA_randomized,11,SphericalKMeans,,,,7.456628831469906e-05,0.24062639018625162,5.869024949749573,200.0138456907893,1.6630592772253514,2062728898.8098547
PCA_full,12,Hierarchical,,,,9.983538524525517e-05,0.15760950124478024,5.864251794945218,198.66959140740715,1.6803704488544726,2066251538.3766851
PCA_full,12,SphericalKMeans,,,,7.160518072381347e-05,0.2292478643459839,5.864253262258753,199.89731505880474,1.668335339770566,2065147674.8166955
PCA_randomized,12,Hierarchical,,,,9.985091779344292e-05,0.15760945527822745,5.861138708509031,198.66959165759852,1.680370432305935,2066251538.1510563
PCA_randomized,12,SphericalKMeans,,,,7.161888786311708e-05,0.22924783777577432,5.8611124085011745,199.89731502681443,1.668335348884496,2065147674.8448858
PCA_full,13,Hierarchical,,,,0.0003544112897855141,0.20851749964199662,5.85590482996631,188.16029176057864,1.6480329226265045,2077610749.0873535
PCA_full,13,SphericalKMeans,,,,0.0001997963494955405,0.2109140851869201,5.856816589052254,206.0342491392359,1.6697118279077288,2061494711.4091094
PCA_randomized,13,Hierarchical,,,,0.00035439467026084217,0.20851753815754415,5.864363095282862,188.16029070627658,1.6480329625614543,2077610750.0421133
PCA_randomized,13,SphericalKMeans,,,,0.0001998051297217305,0.21091414614604254,5.8551546262602585,206.03424719468757,1.6697118723716367,2061494713.1455529
PCA_full,14,Hierarchical,,,,0.00015784150381344505,0.13078244847135365,5.868857562228914,189.14809643233355,1.5911284443148546,2078439386.864881
PCA_full,14,SphericalKMeans,,,,0.00019496477033190335,0.21020369520547602,5.867159937888083,205.69626930576962,1.6713976828932042,2063510600.9038873
PCA_randomized,14,Hierarchical,,,,0.00015783908142135672,0.13078253630278763,5.86853860225478,189.14810016871425,1.5911283659804407,2078439383.4641933
PCA_randomized,14,SphericalKMeans,,,,0.00019496123679069863,0.2102037698987954,5.862926796843134,205.69627276103242,1.6713976120613259,2063510597.8036227
PCA_full,15,Hierarchical,,,,0.000139218376783504,0.15455153986441306,5.797650997623361,198.2723815072942,1.8429926490642792,2071601688.3317297
PCA_full,15,SphericalKMeans,,,,0.000313778578007056,0.20832408550828593,5.79609381402674,204.667892443845,1.6664137207499383,2065848448.5139463
