Reduction Method,Components,Reduction Time
PCA_full,5,10.093886613845825
PCA_full,5,10.093886613845825
PCA_randomized,5,1.2796738147735596
PCA_randomized,5,1.2796738147735596
PCA_full,6,9.435229063034058
PCA_full,6,9.435229063034058
PCA_randomized,6,0.9145388603210449
PCA_randomized,6,0.9145388603210449
PCA_full,7,9.62704610824585
PCA_full,7,9.62704610824585
PCA_randomized,7,0.709113359451294
PCA_randomized,7,0.709113359451294
PCA_full,8,8.092232942581177
PCA_full,8,8.092232942581177
PCA_randomized,8,1.2227959632873535
PCA_randomized,8,1.2227959632873535
PCA_full,9,9.344748258590698
PCA_full,9,9.344748258590698
PCA_randomized,9,0.7330121994018555
PCA_randomized,9,0.7330121994018555
PCA_full,10,6.986902952194214
PCA_full,10,6.986902952194214
PCA_randomized,10,0.7461905479431152
PCA_randomized,10,0.7461905479431152
PCA_full,11,7.702933311462402
PCA_full,11,7.702933311462402
PCA_randomized,11,1.4899046421051025
PCA_randomized,11,1.4899046421051025
PCA_full,12,7.648053884506226
PCA_full,12,7.648053884506226
PCA_randomized,12,0.9372313022613525
PCA_randomized,12,0.9372313022613525
PCA_full,13,10.059273719787598
PCA_full,13,10.059273719787598
PCA_randomized,13,1.4777958393096924
PCA_randomized,13,1.4777958393096924
PCA_full,14,7.9735188484191895
PCA_full,14,7.9735188484191895
PCA_randomized,14,0.767606258392334
PCA_randomized,14,0.767606258392334
PCA_full,15,8.039045333862305
PCA_full,15,8.039045333862305
PCA_randomized,15,1.4815292358398438
PCA_randomized,15,1.4815292358398438
PCA_full,16,7.92369532585144
PCA_full,16,7.92369532585144
PCA_randomized,16,1.239156723022461
PCA_randomized,16,1.239156723022461
PCA_full,17,9.006853818893433
PCA_full,17,9.006853818893433
PCA_randomized,17,0.816910982131958
PCA_randomized,17,0.816910982131958
PCA_full,18,10.776127815246582
PCA_full,18,10.776127815246582
PCA_randomized,18,0.8606853485107422
PCA_randomized,18,0.8606853485107422
PCA_full,19,7.744513273239136
PCA_full,19,7.744513273239136
PCA_randomized,19,1.5808823108673096
PCA_randomized,19,1.5808823108673096
PCA_full,20,8.678126811981201
PCA_full,20,8.678126811981201
PCA_randomized,20,1.3649353981018066
PCA_randomized,20,1.3649353981018066
PCA_full,21,7.813283205032349
PCA_full,21,7.813283205032349
PCA_randomized,21,1.8681528568267822
PCA_randomized,21,1.8681528568267822
PCA_full,22,8.4923255443573
PCA_full,22,8.4923255443573
PCA_randomized,22,1.3948678970336914
PCA_randomized,22,1.3948678970336914
PCA_full,23,8.611063480377197
PCA_full,23,8.611063480377197
PCA_randomized,23,1.20027494430542
PCA_randomized,23,1.20027494430542
PCA_full,25,9.787605047225952
PCA_full,25,9.787605047225952
PCA_randomized,25,1.5685579776763916
PCA_randomized,25,1.5685579776763916
PCA_full,50,9.676142454147339
PCA_full,50,9.676142454147339
PCA_randomized,50,1.956662654876709
PCA_randomized,50,1.956662654876709
PCA_full,75,9.652429342269897
PCA_full,75,9.652429342269897
PCA_randomized,75,2.22373104095459
PCA_randomized,75,2.22373104095459
PCA_full,100,8.564218044281006
PCA_full,100,8.564218044281006
PCA_randomized,100,3.4674344062805176
PCA_randomized,100,3.4674344062805176
PCA_full,125,8.72548770904541
PCA_full,125,8.72548770904541
PCA_randomized,125,2.593493938446045
PCA_randomized,125,2.593493938446045
PCA_full,150,9.17067003250122
PCA_full,150,9.17067003250122
PCA_randomized,150,4.033962249755859
PCA_randomized,150,4.033962249755859
PCA_full,175,9.280142545700073
PCA_full,175,9.280142545700073
PCA_randomized,175,4.59104061126709
PCA_randomized,175,4.59104061126709
PCA_full,200,7.198354005813599
PCA_full,200,7.198354005813599
PCA_randomized,200,4.666470050811768
PCA_randomized,200,4.666470050811768
PCA_full,225,9.247044324874878
PCA_full,225,9.247044324874878
PCA_randomized,225,4.184561252593994
PCA_randomized,225,4.184561252593994
PCA_full,250,9.746938467025757
PCA_full,250,9.746938467025757
PCA_randomized,250,6.5819902420043945
PCA_randomized,250,6.5819902420043945
PCA_full,275,9.585992574691772
PCA_full,275,9.585992574691772
PCA_randomized,275,7.852802038192749
PCA_randomized,275,7.852802038192749
PCA_full,300,8.933932065963745
PCA_full,300,8.933932065963745
PCA_randomized,300,5.248454809188843
PCA_randomized,300,5.248454809188843
PCA_full,325,8.197954416275024
PCA_full,325,8.197954416275024
PCA_randomized,325,7.855317831039429
PCA_randomized,325,7.855317831039429
PCA_full,350,9.0747652053833
PCA_full,350,9.0747652053833
PCA_randomized,350,6.938511848449707
PCA_randomized,350,6.938511848449707
PCA_full,375,8.1984543800354
PCA_full,375,8.1984543800354
PCA_randomized,375,8.686130285263062
PCA_randomized,375,8.686130285263062
PCA_full,400,8.181825399398804
PCA_full,400,8.181825399398804
PCA_randomized,400,8.215506315231323
PCA_randomized,400,8.215506315231323
PCA_full,425,7.7715959548950195
PCA_full,425,7.7715959548950195
PCA_randomized,425,8.32474684715271
PCA_randomized,425,8.32474684715271
PCA_full,450,9.749099016189575
PCA_full,450,9.749099016189575
PCA_randomized,450,10.364003896713257
PCA_randomized,450,10.364003896713257
PCA_full,475,9.05225157737732
PCA_full,475,9.05225157737732
PCA_randomized,475,11.239251613616943
PCA_randomized,475,11.239251613616943
PCA_full,500,10.357059478759766
PCA_full,500,10.357059478759766
PCA_randomized,500,10.72423267364502
PCA_randomized,500,10.72423267364502
PCA_full,525,7.326700448989868
PCA_full,525,7.326700448989868
PCA_randomized,525,10.587653398513794
PCA_randomized,525,10.587653398513794
PCA_full,550,7.549500226974487
PCA_full,550,7.549500226974487
PCA_randomized,550,12.00839638710022
PCA_randomized,550,12.00839638710022
PCA_full,575,8.789321422576904
PCA_full,575,8.789321422576904
PCA_randomized,575,15.428443908691406
PCA_randomized,575,15.428443908691406
PCA_full,600,11.264450311660767
PCA_full,600,11.264450311660767
PCA_randomized,600,13.581754684448242
PCA_randomized,600,13.581754684448242
PCA_full,625,10.326724529266357
PCA_full,625,10.326724529266357
PCA_randomized,625,12.413254737854004
PCA_randomized,625,12.413254737854004
PCA_full,650,10.372841119766235
PCA_full,650,10.372841119766235
PCA_randomized,650,15.74421739578247
PCA_randomized,650,15.74421739578247
PCA_full,675,8.739532470703125
PCA_full,675,8.739532470703125
PCA_randomized,675,13.574914455413818
PCA_randomized,675,13.574914455413818
PCA_full,700,10.750231981277466
PCA_full,700,10.750231981277466
PCA_randomized,700,18.133928060531616
PCA_randomized,700,18.133928060531616
PCA_full,725,8.519566297531128
PCA_full,725,8.519566297531128
PCA_randomized,725,16.98532009124756
PCA_randomized,725,16.98532009124756
PCA_full,750,10.21833610534668
PCA_full,750,10.21833610534668
PCA_randomized,750,19.90802764892578
PCA_randomized,750,19.90802764892578
PCA_full,775,10.922380208969116
PCA_full,775,10.922380208969116
PCA_randomized,775,18.82185387611389
PCA_randomized,775,18.82185387611389
PCA_full,800,8.942909717559814
PCA_full,800,8.942909717559814
PCA_randomized,800,18.17413306236267
PCA_randomized,800,18.17413306236267
PCA_full,825,9.297967195510864
PCA_full,825,9.297967195510864
PCA_randomized,825,18.504656314849854
PCA_randomized,825,18.504656314849854
PCA_full,850,9.42737627029419
PCA_full,850,9.42737627029419
PCA_randomized,850,18.258349657058716
PCA_randomized,850,18.258349657058716
PCA_full,875,9.106046438217163
PCA_full,875,9.106046438217163
PCA_randomized,875,20.754130601882935
PCA_randomized,875,20.754130601882935
PCA_full,900,10.969990253448486
PCA_full,900,10.969990253448486
PCA_randomized,900,15.684547901153564
PCA_randomized,900,15.684547901153564
PCA_full,925,9.246196746826172
PCA_full,925,9.246196746826172
PCA_randomized,925,24.503864765167236
PCA_randomized,925,24.503864765167236
PCA_full,950,7.7660133838653564
PCA_full,950,7.7660133838653564
PCA_randomized,950,22.04228115081787
PCA_randomized,950,22.04228115081787
PCA_full,975,8.787354707717896
PCA_full,975,8.787354707717896
PCA_randomized,975,21.602747917175293
PCA_randomized,975,21.602747917175293
PCA_full,1000,9.537813663482666
PCA_full,1000,9.537813663482666
PCA_randomized,1000,20.330430269241333
PCA_randomized,1000,20.330430269241333
SparseRandomProjection,5,0.6623554229736328
SparseRandomProjection,5,0.6623554229736328
SparseRandomProjection,6,0.6455743312835693
SparseRandomProjection,6,0.6455743312835693
SparseRandomProjection,7,0.6018760204315186
SparseRandomProjection,7,0.6018760204315186
SparseRandomProjection,8,0.5560555458068848
SparseRandomProjection,8,0.5560555458068848
SparseRandomProjection,9,1.0274908542633057
SparseRandomProjection,9,1.0274908542633057
SparseRandomProjection,10,0.8199172019958496
SparseRandomProjection,10,0.8199172019958496
SparseRandomProjection,11,0.7519536018371582
SparseRandomProjection,11,0.7519536018371582
SparseRandomProjection,12,0.5998380184173584
SparseRandomProjection,12,0.5998380184173584
SparseRandomProjection,13,0.7396240234375
SparseRandomProjection,13,0.7396240234375
SparseRandomProjection,14,0.7673337459564209
SparseRandomProjection,14,0.7673337459564209
SparseRandomProjection,15,0.7642841339111328
SparseRandomProjection,15,0.7642841339111328
SparseRandomProjection,16,0.8450286388397217
SparseRandomProjection,16,0.8450286388397217
SparseRandomProjection,17,0.7562265396118164
SparseRandomProjection,17,0.7562265396118164
SparseRandomProjection,18,0.7411026954650879
SparseRandomProjection,18,0.7411026954650879
SparseRandomProjection,19,0.6358926296234131
SparseRandomProjection,19,0.6358926296234131
SparseRandomProjection,20,0.7839038372039795
SparseRandomProjection,20,0.7839038372039795
SparseRandomProjection,21,0.8237476348876953
SparseRandomProjection,21,0.8237476348876953
SparseRandomProjection,22,0.673943042755127
SparseRandomProjection,22,0.673943042755127
SparseRandomProjection,23,0.7869844436645508
SparseRandomProjection,23,0.7869844436645508
SparseRandomProjection,25,0.6888778209686279
SparseRandomProjection,25,0.6888778209686279
SparseRandomProjection,50,0.7431850433349609
SparseRandomProjection,50,0.7431850433349609
SparseRandomProjection,75,0.737083911895752
SparseRandomProjection,75,0.737083911895752
SparseRandomProjection,100,1.3067409992218018
SparseRandomProjection,100,1.3067409992218018
SparseRandomProjection,125,0.8839559555053711
SparseRandomProjection,125,0.8839559555053711
SparseRandomProjection,150,0.7369766235351562
SparseRandomProjection,150,0.7369766235351562
SparseRandomProjection,175,0.879852294921875
SparseRandomProjection,175,0.879852294921875
SparseRandomProjection,200,0.7430834770202637
SparseRandomProjection,200,0.7430834770202637
SparseRandomProjection,225,0.959404468536377
SparseRandomProjection,225,0.959404468536377
SparseRandomProjection,250,1.078824758529663
SparseRandomProjection,250,1.078824758529663
SparseRandomProjection,275,1.0288887023925781
SparseRandomProjection,275,1.0288887023925781
SparseRandomProjection,300,1.2078583240509033
SparseRandomProjection,300,1.2078583240509033
SparseRandomProjection,325,1.1249642372131348
SparseRandomProjection,325,1.1249642372131348
SparseRandomProjection,350,0.9582464694976807
SparseRandomProjection,350,0.9582464694976807
SparseRandomProjection,375,1.3494784832000732
SparseRandomProjection,375,1.3494784832000732
SparseRandomProjection,400,1.235992193222046
SparseRandomProjection,400,1.235992193222046
SparseRandomProjection,425,1.3539822101593018
SparseRandomProjection,425,1.3539822101593018
SparseRandomProjection,450,1.3115410804748535
SparseRandomProjection,450,1.3115410804748535
SparseRandomProjection,475,1.389251708984375
SparseRandomProjection,475,1.389251708984375
SparseRandomProjection,500,1.461982011795044
SparseRandomProjection,500,1.461982011795044
SparseRandomProjection,525,2.035552740097046
SparseRandomProjection,525,2.035552740097046
SparseRandomProjection,550,1.3679912090301514
SparseRandomProjection,550,1.3679912090301514
SparseRandomProjection,575,1.5042212009429932
SparseRandomProjection,575,1.5042212009429932
SparseRandomProjection,600,1.4277184009552002
SparseRandomProjection,600,1.4277184009552002
SparseRandomProjection,625,1.4777648448944092
SparseRandomProjection,625,1.4777648448944092
SparseRandomProjection,650,1.2212376594543457
SparseRandomProjection,650,1.2212376594543457
SparseRandomProjection,675,1.701803207397461
SparseRandomProjection,675,1.701803207397461
SparseRandomProjection,700,1.424163579940796
SparseRandomProjection,700,1.424163579940796
SparseRandomProjection,725,1.8589415550231934
SparseRandomProjection,725,1.8589415550231934
SparseRandomProjection,750,1.9069697856903076
SparseRandomProjection,750,1.9069697856903076
SparseRandomProjection,775,1.9958868026733398
SparseRandomProjection,775,1.9958868026733398
SparseRandomProjection,800,1.5000314712524414
SparseRandomProjection,800,1.5000314712524414
SparseRandomProjection,825,2.1327414512634277
SparseRandomProjection,825,2.1327414512634277
SparseRandomProjection,850,2.0030033588409424
SparseRandomProjection,850,2.0030033588409424
SparseRandomProjection,875,2.110849380493164
SparseRandomProjection,875,2.110849380493164
SparseRandomProjection,900,1.8545336723327637
SparseRandomProjection,900,1.8545336723327637
SparseRandomProjection,925,2.0639913082122803
SparseRandomProjection,925,2.0639913082122803
SparseRandomProjection,950,2.3824732303619385
SparseRandomProjection,950,2.3824732303619385
SparseRandomProjection,975,2.355782985687256
SparseRandomProjection,975,2.355782985687256
SparseRandomProjection,1000,1.8204920291900635
SparseRandomProjection,1000,1.8204920291900635
GaussianRandomProjection,5,0.3933258056640625
GaussianRandomProjection,5,0.3933258056640625
GaussianRandomProjection,6,0.46341991424560547
GaussianRandomProjection,6,0.46341991424560547
GaussianRandomProjection,7,0.4794313907623291
GaussianRandomProjection,7,0.4794313907623291
GaussianRandomProjection,8,0.46465039253234863
GaussianRandomProjection,8,0.46465039253234863
GaussianRandomProjection,9,0.4353950023651123
GaussianRandomProjection,9,0.4353950023651123
GaussianRandomProjection,10,0.30378007888793945
GaussianRandomProjection,10,0.30378007888793945
GaussianRandomProjection,11,0.4628880023956299
GaussianRandomProjection,11,0.4628880023956299
GaussianRandomProjection,12,0.44051575660705566
GaussianRandomProjection,12,0.44051575660705566
GaussianRandomProjection,13,0.38491106033325195
GaussianRandomProjection,13,0.38491106033325195
GaussianRandomProjection,14,0.40991830825805664
GaussianRandomProjection,14,0.40991830825805664
GaussianRandomProjection,15,0.5283832550048828
GaussianRandomProjection,15,0.5283832550048828
GaussianRandomProjection,16,0.4842855930328369
GaussianRandomProjection,16,0.4842855930328369
GaussianRandomProjection,17,0.4452662467956543
GaussianRandomProjection,17,0.4452662467956543
GaussianRandomProjection,18,0.5128121376037598
GaussianRandomProjection,18,0.5128121376037598
GaussianRandomProjection,19,0.46803784370422363
GaussianRandomProjection,19,0.46803784370422363
GaussianRandomProjection,20,0.4379847049713135
GaussianRandomProjection,20,0.4379847049713135
GaussianRandomProjection,21,0.4959840774536133
GaussianRandomProjection,21,0.4959840774536133
GaussianRandomProjection,22,0.509835958480835
GaussianRandomProjection,22,0.509835958480835
GaussianRandomProjection,23,0.4996757507324219
GaussianRandomProjection,23,0.4996757507324219
GaussianRandomProjection,25,0.5083699226379395
GaussianRandomProjection,25,0.5083699226379395
GaussianRandomProjection,50,0.4375460147857666
GaussianRandomProjection,50,0.4375460147857666
GaussianRandomProjection,75,0.5495975017547607
GaussianRandomProjection,75,0.5495975017547607
GaussianRandomProjection,100,0.7193272113800049
GaussianRandomProjection,100,0.7193272113800049
GaussianRandomProjection,125,0.6019351482391357
GaussianRandomProjection,125,0.6019351482391357
GaussianRandomProjection,150,0.6373755931854248
GaussianRandomProjection,150,0.6373755931854248
GaussianRandomProjection,175,0.5794825553894043
GaussianRandomProjection,175,0.5794825553894043
GaussianRandomProjection,200,0.7842068672180176
GaussianRandomProjection,200,0.7842068672180176
GaussianRandomProjection,225,0.7711875438690186
GaussianRandomProjection,225,0.7711875438690186
GaussianRandomProjection,250,0.666771411895752
GaussianRandomProjection,250,0.666771411895752
GaussianRandomProjection,275,0.9045078754425049
GaussianRandomProjection,275,0.9045078754425049
GaussianRandomProjection,300,0.7276206016540527
GaussianRandomProjection,300,0.7276206016540527
GaussianRandomProjection,325,0.6295168399810791
GaussianRandomProjection,325,0.6295168399810791
GaussianRandomProjection,350,0.8372561931610107
GaussianRandomProjection,350,0.8372561931610107
GaussianRandomProjection,375,0.8644311428070068
GaussianRandomProjection,375,0.8644311428070068
GaussianRandomProjection,400,0.891676664352417
GaussianRandomProjection,400,0.891676664352417
GaussianRandomProjection,425,0.9133656024932861
GaussianRandomProjection,425,0.9133656024932861
GaussianRandomProjection,450,0.9360299110412598
GaussianRandomProjection,450,0.9360299110412598
GaussianRandomProjection,475,0.9323439598083496
GaussianRandomProjection,475,0.9323439598083496
GaussianRandomProjection,500,0.8663852214813232
GaussianRandomProjection,500,0.8663852214813232
GaussianRandomProjection,525,0.6743011474609375
GaussianRandomProjection,525,0.6743011474609375
GaussianRandomProjection,550,1.132897138595581
GaussianRandomProjection,550,1.132897138595581
GaussianRandomProjection,575,0.9438209533691406
GaussianRandomProjection,575,0.9438209533691406
